var,r1.25,r1.5,r1.75,r2,ann
testspy.comp,"0.66 (0.65, 0.67)","0.77 (0.76, 0.78)","0.87 (0.86, 0.88)","0.97 (0.95, 0.98)","1.38 (1.37, 1.39)"
testspy.comp.B,"0.45 (0.43, 0.46)","0.52 (0.51, 0.54)","0.60 (0.58, 0.61)","0.67 (0.66, 0.69)","1.27 (1.25, 1.30)"
testspy.comp.H,"0.51 (0.47, 0.55)","0.59 (0.55, 0.64)","0.67 (0.63, 0.72)","0.75 (0.71, 0.80)","1.41 (1.35, 1.47)"
testspy.comp.W,"0.51 (0.47, 0.55)","0.59 (0.55, 0.64)","0.67 (0.63, 0.72)","0.75 (0.71, 0.80)","1.41 (1.35, 1.47)"
pytest.comp,"37.9 (36.9, 38.9)","43.4 (42.5, 44.4)","48.4 (47.4, 49.3)","52.8 (51.8, 53.7)","70.8 (69.8, 71.6)"
pytest.comp.B,"27.9 (26.5, 29.3)","32.7 (31.4, 34.2)","37.3 (35.7, 38.9)","41.4 (39.8, 43.0)","69.5 (67.9, 70.9)"
pytest.comp.H,"29.7 (25.9, 33.3)","34.6 (30.6, 39.4)","39.0 (34.9, 43.0)","43.2 (38.8, 47.6)","71.3 (67.0, 75.6)"
pytest.comp.W,"46.2 (44.8, 47.5)","52.2 (50.9, 53.7)","57.5 (56.2, 58.7)","62.2 (60.8, 63.4)","71.6 (70.4, 72.8)"
dx.comp,"86.2 (84.7, 87.8)","88.6 (87.2, 89.8)","90.5 (89.1, 91.7)","91.8 (90.6, 92.9)","96.5 (95.7, 97.3)"
dx.comp.B,"85.2 (83.6, 87.0)","87.8 (86.2, 89.3)","89.7 (88.2, 91.1)","91.2 (89.8, 92.4)","96.4 (95.4, 97.3)"
dx.comp.H,"84.3 (76.8, 91.1)","86.7 (78.7, 93.4)","89.2 (82.4, 94.9)","90.8 (84.5, 96.3)","97.0 (92.0, 100.0)"
dx.comp.W,"91.4 (88.9, 94.0)","93.2 (90.6, 95.2)","94.4 (92.0, 96.6)","95.3 (93.2, 97.2)","96.9 (94.9, 98.5)"
dx.delay.comp,"2.76 (2.69, 2.83)","2.68 (2.61, 2.75)","2.61 (2.55, 2.68)","2.54 (2.48, 2.61)","2.26 (2.21, 2.32)"
dx.delay.comp.B,"2.89 (2.81, 2.97)","2.81 (2.72, 2.89)","2.73 (2.66, 2.81)","2.66 (2.59, 2.74)","2.33 (2.27, 2.40)"
dx.delay.comp.H,"2.90 (2.47, 3.46)","2.83 (2.45, 3.29)","2.75 (2.36, 3.21)","2.66 (2.32, 3.07)","2.29 (1.99, 2.66)"
dx.delay.comp.W,"2.13 (2.02, 2.26)","2.06 (1.95, 2.16)","2.00 (1.91, 2.11)","1.96 (1.86, 2.07)","1.90 (1.80, 2.01)"
prev.comp,"22.5 (21.6, 23.3)","22.2 (21.4, 23.0)","21.8 (21.1, 22.5)","21.6 (20.8, 22.3)","20.3 (19.6, 20.9)"
prev.comp.B,"37.6 (36.0, 39.3)","37.1 (35.8, 38.5)","36.6 (35.2, 38.0)","36.2 (34.8, 37.5)","33.9 (32.7, 35.2)"
prev.comp.H,"14.4 (12.2, 16.9)","14.3 (12.1, 16.7)","14.0 (11.9, 16.2)","13.8 (11.7, 15.9)","12.7 (10.6, 14.7)"
prev.comp.W,"7.8 (7.3, 8.3)","7.7 (7.1, 8.2)","7.5 (7.0, 8.0)","7.4 (6.8, 7.9)","7.0 (6.5, 7.5)"
prev.dx.comp,"19.4 (18.7, 20.0)","19.6 (19.0, 20.3)","19.7 (19.1, 20.4)","19.8 (19.2, 20.5)","19.6 (18.9, 20.2)"
prev.dx.comp.B,"32.1 (30.8, 33.2)","32.6 (31.4, 33.6)","32.8 (31.7, 34.1)","33.0 (31.8, 34.2)","32.7 (31.6, 33.9)"
prev.dx.comp.H,"12.0 (10.3, 14.2)","12.3 (10.6, 14.6)","12.5 (10.6, 14.5)","12.5 (10.6, 14.5)","12.2 (10.4, 14.2)"
prev.dx.comp.W,"7.1 (6.7, 7.6)","7.1 (6.6, 7.6)","7.1 (6.6, 7.6)","7.0 (6.5, 7.5)","6.8 (6.4, 7.3)"
incid.comp,"2.25 (1.72, 2.75)","2.13 (1.67, 2.71)","2.08 (1.58, 2.58)","1.96 (1.53, 2.49)","1.63 (1.23, 2.11)"
incid.comp.B,"1.81 (1.37, 2.27)","1.73 (1.33, 2.23)","1.69 (1.25, 2.15)","1.62 (1.21, 2.11)","1.35 (0.98, 1.72)"
incid.comp.H,"0.08 (0.02, 0.15)","0.08 (0.01, 0.15)","0.06 (0.00, 0.15)","0.06 (0.00, 0.14)","0.06 (0.00, 0.12)"
incid.comp.W,"0.35 (0.19, 0.54)","0.33 (0.17, 0.50)","0.31 (0.16, 0.48)","0.29 (0.15, 0.44)","0.23 (0.12, 0.38)"
ir100.comp,"1.29 (0.98, 1.56)","1.21 (0.95, 1.55)","1.17 (0.89, 1.45)","1.11 (0.86, 1.41)","0.90 (0.68, 1.18)"
ir100.comp.B,"2.68 (2.01, 3.32)","2.53 (1.94, 3.30)","2.45 (1.80, 3.14)","2.32 (1.74, 3.02)","1.87 (1.36, 2.41)"
ir100.comp.H,"0.78 (0.19, 1.65)","0.78 (0.09, 1.62)","0.61 (0.00, 1.60)","0.61 (0.00, 1.50)","0.57 (0.00, 1.20)"
ir100.comp.W,"0.35 (0.20, 0.55)","0.33 (0.18, 0.51)","0.31 (0.17, 0.49)","0.29 (0.16, 0.45)","0.23 (0.12, 0.39)"
hr,"0.94 (0.93, 0.95)","0.89 (0.88, 0.90)","0.86 (0.85, 0.87)","0.81 (0.81, 0.82)","0.66 (0.65, 0.67)"
hr.B,"0.94 (0.93, 0.95)","0.89 (0.88, 0.90)","0.86 (0.85, 0.87)","0.82 (0.81, 0.83)","0.66 (0.65, 0.66)"
hr.H,"0.94 (0.83, 0.97)","0.94 (0.83, 0.97)","0.79 (0.76, 0.84)","0.76 (0.73, 0.79)","0.61 (0.58, 0.65)"
hr.W,"0.92 (0.90, 0.94)","0.85 (0.83, 0.87)","0.80 (0.78, 0.82)","0.75 (0.73, 0.77)","0.60 (0.59, 0.62)"
nia,"58.5 (54.0, 63.0)","98.0 (94.0, 103.0)","145.0 (140.5, 149.5)","177.0 (172.5, 181.0)","353.0 (349.0, 357.0)"
nia.B,"41.5 (37.5, 45.0)","71.0 (67.5, 75.0)","106.0 (102.5, 110.0)","130.0 (126.0, 133.5)","275.0 (271.5, 278.0)"
nia.H,"2.0 (2.0, 3.0)","3.0 (3.0, 4.0)","5.0 (5.0, 6.0)","7.0 (6.0, 7.0)","14.0 (13.0, 14.0)"
nia.W,"14.0 (13.0, 16.0)","23.0 (22.0, 24.5)","34.0 (32.0, 35.0)","40.0 (38.5, 41.0)","64.0 (63.0, 65.0)"
pia,"4.7 (4.3, 5.1)","7.9 (7.6, 8.3)","11.7 (11.4, 12.1)","14.3 (13.9, 14.6)","28.5 (28.2, 28.8)"
pia.B,"4.2 (3.8, 4.5)","7.2 (6.8, 7.5)","10.7 (10.4, 11.1)","13.1 (12.8, 13.5)","27.8 (27.5, 28.1)"
pia.H,"4.9 (4.1, 6.5)","7.5 (6.1, 8.9)","12.2 (10.9, 13.6)","15.7 (14.6, 17.0)","32.0 (31.1, 33.0)"
pia.W,"7.1 (6.4, 7.7)","11.3 (10.7, 12.0)","16.7 (16.0, 17.3)","19.5 (18.9, 20.1)","31.5 (31.0, 32.1)"
