"","V1"
"prev.comp","22.5 (21.6, 23.3)"
"prev.comp.B","37.6 (36.0, 39.3)"
"prev.comp.H","14.4 (12.2, 16.9)"
"prev.comp.W","7.8 (7.3, 8.3)"
"prev.dx.comp","19.4 (18.7, 20.0)"
"prev.dx.comp.B","32.1 (30.8, 33.2)"
"prev.dx.comp.H","12.0 (10.3, 14.2)"
"prev.dx.comp.W","7.1 (6.7, 7.6)"
"incid.comp","2.25 (1.72, 2.75)"
"incid.comp.B","1.81 (1.37, 2.27)"
"incid.comp.H","0.08 (0.02, 0.15)"
"incid.comp.W","0.35 (0.19, 0.54)"
"ir100.comp","1.29 (0.98, 1.56)"
"ir100.comp.B","2.68 (2.01, 3.32)"
"ir100.comp.H","0.78 (0.19, 1.65)"
"ir100.comp.W","0.35 (0.20, 0.55)"
"hr","0.94 (0.93, 0.95)"
"hr.B","0.94 (0.93, 0.95)"
"hr.H","0.94 (0.83, 0.97)"
"hr.W","0.92 (0.90, 0.94)"
"nia","58.0 (54.0, 63.0)"
"nia.B","41.5 (38.0, 45.5)"
"nia.H","2.0 (2.0, 3.0)"
"nia.W","14.0 (13.0, 16.0)"
"pia","4.7 (4.4, 5.1)"
"pia.B","4.2 (3.8, 4.6)"
"pia.H","4.9 (4.2, 6.5)"
"pia.W","7.1 (6.4, 7.8)"
