"SIMNO","NSIMS","PSP","PRL"
1101,112,0.05,0
1102,112,0.07,0
1103,112,0.09,0
1104,112,0.11,0
1105,112,0.13,0
1106,112,0.15,0
1107,112,0.17,0
1108,112,0.19,0
1109,112,0.21,0
1110,112,0.23,0
1111,112,0.25,0
1112,112,0.27,0
1113,112,0.29,0
1114,112,0.31,0
1115,112,0.33,0
1116,112,0.35,0
1117,112,0.37,0
1118,112,0.39,0
1119,112,0.41,0
1120,112,0.43,0
1121,112,0.45,0
1122,112,0.47,0
1123,112,0.49,0
1124,112,0.05,1
1125,112,0.07,1
1126,112,0.09,1
1127,112,0.11,1
1128,112,0.13,1
1129,112,0.15,1
1130,112,0.17,1
1131,112,0.19,1
1132,112,0.21,1
1133,112,0.23,1
1134,112,0.25,1
1135,112,0.27,1
1136,112,0.29,1
1137,112,0.31,1
1138,112,0.33,1
1139,112,0.35,1
1140,112,0.37,1
1141,112,0.39,1
1142,112,0.41,1
1143,112,0.43,1
1144,112,0.45,1
1145,112,0.47,1
1146,112,0.49,1
